中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,547 Mbps,70041 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,69 ms,328 Mbps,41984 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,25 ms,518 Mbps,66355 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,87 ms,248 Mbps,31846 kB/s
129.146.7.98,443,2a09:bac5:60ec:78::c:3a1,US,Los Angeles,隧道,72 ms,73 Mbps,9373 kB/s
144.21.59.96,443,2a0b:21c0:100a:1b0:0:20a3:31e3:a8d9,DE,Frankfurt,隧道,96 ms,218 Mbps,27955 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,66 ms,287 Mbps,36761 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,59 ms,676 Mbps,86528 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,251 Mbps,32153 kB/s
143.47.182.145,443,98.98.166.178,US,Frankfurt,隧道,100 ms,38 Mbps,4929 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,77 ms,289 Mbps,37068 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,106 Mbps,13619 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,302 Mbps,38707 kB/s
138.3.254.39,443,138.3.254.39,DE,206 Mbps,26419 kB/s
152.70.57.182,443,152.70.57.182,NL,Düsseldorf,中转,115 ms,39 Mbps,5088 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,90 ms,111 Mbps,14233 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,44 Mbps,5650 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,118 ms,208 Mbps,26624 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,86 ms,307 Mbps,39321 kB/s
192.9.138.241,443,192.9.138.241,308 Mbps,39424 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,80 ms,29 Mbps,3769 kB/s
158.101.206.36,443,98.98.166.170,US,Frankfurt,隧道,92 ms,180 Mbps,23142 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,63 ms,45 Mbps,5887 kB/s
132.226.31.178,443,2a09:bac5:60ec:1173::1bd:10e,US,Los Angeles,隧道,64 ms,43 Mbps,5522 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,60 ms,309 Mbps,39628 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,86 ms,203 Mbps,26009 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,126 ms,28 Mbps,3585 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,293 Mbps,37580 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,71 ms,112 Mbps,14438 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,169 Mbps,21708 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,229 Mbps,29388 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,101 ms,75 Mbps,9667 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,109 ms,43 Mbps,5613 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,86 ms,263 Mbps,33689 kB/s
129.159.11.113,443,2606:f240:f00:5a42:0:b714:317b:7243,US,Frankfurt,隧道,93 ms,185 Mbps,23756 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,78 ms,60 Mbps,7801 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,101 ms,16 Mbps,2107 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,118 ms,47 Mbps,6143 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,86 ms,216 Mbps,27648 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,197 ms,71 Mbps,9144 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,221 Mbps,28364 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,95 ms,43 Mbps,5597 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,9 Mbps,1246 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,82 Mbps,10547 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,202 ms,30 Mbps,3882 kB/s
193.123.177.213,443,2a0b:21c0:100a:1b4:0:d209:8d2:86bf,DE,Frankfurt,隧道,100 ms,96 Mbps,12288 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,152 ms,7 Mbps,1007 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,193 ms,83 Mbps,10649 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,90 ms,31 Mbps,4024 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,98 ms,0 Mbps,32 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,185 ms,88 Mbps,11264 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,189 ms,88 Mbps,11264 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,185 ms,90 Mbps,11571 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,218 ms,30 Mbps,3960 kB/s
140.238.18.74,443,140.238.18.74,KR,Seoul,中转,196 ms,20 Mbps,2671 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,202 ms,77 Mbps,9861 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,85 ms,23 Mbps,3011 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,220 ms,39 Mbps,5014 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,193 ms,77 Mbps,9972 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,181 ms,88 Mbps,11264 kB/s
152.70.232.151,443,152.70.232.151,KR,Seoul,中转,193 ms,31 Mbps,3980 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,295 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,213 ms,59 Mbps,7574 kB/s
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,193 ms,74 Mbps,9539 kB/s
64.110.108.118,443,64.110.108.118,JP,Osaka,中转,431 ms,22 Mbps,2839 kB/s
140.83.36.122,443,140.83.36.122,JP,Tokyo,中转,218 ms,58 Mbps,7488 kB/s
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,215 ms,61 Mbps,7841 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,277 ms,75 Mbps,9663 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,217 ms,37 Mbps,4815 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,197 ms,84 Mbps,10854 kB/s
